Employee_Code ,Gender,Department,Annual_Salary($),Experience,Age,Work_Experience
1010,Male,IT,27000,1,22,0
1011,Female,IT,48000,4,27,4
1012,Male,Sales,75000,10,31,7
1013,Male,Sales,61000,4,29,6
1014,Female,Finance,45000,4,27,4
1015,Male,Finance,40000,0,26,3
1016,Female,HR,42000,2,27,4
1017,Male,IT,28000,1,23,0
1018,Female,IT,48000,4,27,4
1019,Male,Sales,65000,4,32,7
1020,Male,Sales,54000,4,28,4
1021,Female,IT,45000,4,27,4
1022,Male,IT,29000,0,22,0
1023,Male,Finance,48000,2,27,4
1024,Female,HR,95000,9,35,9
1025,Male,IT,78000,4,33,8
1026,Male,Sales,54000,4,28,5
1027,Female,HR,28000,1,22,0
1028,Male,HR,36000,0,25,3
1029,Male,IT,42000,2,27,4
1030,Male,Sales,94000,4,37,12
1031,Male,Sales,42000,2,27,5
1032,Female,Finance,30000,4,24,1
1033,Male,Finance,48000,4,27,4
1034,Male,IT,52000,5,28,5
1035,Male,IT,36000,1,26,2
1036,Male,IT,48000,4,27,4
1037,Female,IT,48000,4,27,4
1038,Female,HR,56000,4,29,5
1039,Female,HR,40000,9,49,2
1040,Male,HR,38000,1,26,3
1040,Male,Finance,68000,,32,8
1041,Male,Sales,36000,2,26,2
1042,Male,Sales,32000,9,24,1
1043,Female,Sales,30000,2,24,1
1044,Female,Sales,28500,1,23,1
1045,Female,IT,53000,4,28,5
1046,Female,HR,51000,4,28,4
1047,Female,Sales,28000,1,22,0
1048,Male,Finance,35000,10,26,2
1049,Male,Finance,65000,,32,8
1050,Female,HR,70000,,35,9
1051,Male,Sales,68000,,33,8
1052,Female,HR,61000,,31,7
1053,Male,Sales,58000,,30,6
1054,Male,Finance,83000,,36,10
1055,Male,IT,27500,,22,0
1056,Female,IT,29000,,23,0
1057,Female,IT,62000,,32,7
1058,Female,HR,68500,,34,9
1059,Male,Sales,60000,,30,6
1060,Male,Finance,80000,,41,13
1061,Male,HR,77000,,38,11
1062,Male,Finance,78000,,40,12
1063,Male,IT,75000,,37,11
1064,Male,HR,85000,,44,15
1065,Female,Sales,58000,,29,5
1066,Female,IT,88000,,46,16
1067,Female,IT,90000,,47,17
1068,Male,Sales,63000,,32,7
1069,Male,Sales,62500,,30,7
1070,Male,Finance,78000,,37,10
1071,Male,IT,79400,,39,12
1072,Female,IT,80000,,42,13
1073,Male,IT,110000,,50,24
1074,Female,HR,82500,,43,13
1075,Male,Sales,53500,,28,5
1076,Female,HR,57000,,29,6
1077,Male,Sales,66500,,33,7
1078,Male,Finance,92000,,45,19
